Query_ID,SOLR_Index_Type,Query_Frag,Ontology_Set_ID
q7,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000537" AND formatId:eml*,None
q7,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000537" AND formatId:eml*,None
q7,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000537" AND formatId:eml*,None
q8,nat_lang,growth of trees measured as changes in diameter (with or without) duration AND formatId:eml*,None
q8,metacat_ui,tree diameter AND formatId:eml*,None
q8,metacat_filtered,tree AND (attribute:diameter OR attribute:dbh) AND formatId:eml*,None
q8,full_text,(attribute:diameter AND attribute:date) AND (abstract:tree OR title:tree) AND formatId:eml*,None
q8,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000544" AND formatId:eml*,None
q8,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000544" AND formatId:eml*,None
q8,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000544" AND formatId:eml*,None
q9,nat_lang,net primary production of coastal macroalgae in dimensions of (amount or mass) of carbon per area per time AND formatId:eml*,None
q9,metacat_ui,net primary production coastal macroalgae AND formatId:eml*,None
q9,metacat_filtered,"coastal macroalgae" AND attribute:"net primary production" AND formatId:eml*,None
q9,full_text,attribute:"net primary production" AND (abstract:"coastal macroalgae" OR title:"coastal macroalgae") AND formatId:eml*,None
q9,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000542" AND formatId:eml*,None
q9,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000542" AND formatId:eml*,None
q9,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000542" AND formatId:eml*,None
q10,nat_lang,ocean carbon dioxide flux in dimensions of (amount or mass) of carbon per (area or volume) per time AND formatId:eml*,None
q10,metacat_ui,ocean carbon dioxide flux AND formatId:eml*,None
q10,metacat_filtered,ocean AND attribute:"carbon dioxide flux" AND formatId:eml*,None
q10,full_text,(attribute:"C02 flux" or attribute:"carbon dioxide flux") AND (abstract:ocean OR title:ocean) AND formatId:eml*,None
q10,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000543" AND formatId:eml*,None
q10,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000543" AND formatId:eml*,None
q10,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000543" AND formatId:eml*,None
